Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Elec_6.3x5.7,15.24,-15.875,-90.0,top
C10,0.1u,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,90.18,-20.25,-90.0,top
C11,0.1u,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,90.17,-43.18,-90.0,top
C12,0.1u,C_0603_1608Metric,68.58,-13.97,180.0,top
C13,0.1u,C_0603_1608Metric,68.58,-36.83,180.0,top
C14,~,C_0805_2012Metric,10.795,-27.94,90.0,top
C15,~,C_0805_2012Metric,31.115,-30.48,180.0,top
C16,~,C_0805_2012Metric,39.37,-38.735,90.0,top
C17,~,C_0805_2012Metric,25.368306,-51.779805,180.0,top
C18,100u,CP_Elec_6.3x5.7,16.51,-38.1,90.0,top
C19,100u,CP_Elec_6.3x5.7,16.51,-47.625,90.0,top
C2,10u,C_0805_2012Metric,22.233454,-13.820195,0.0,top
C3,0.1u,C_0603_1608Metric,22.195325,-11.926931,0.0,top
C4,2.2u,C_Axial_L17.0mm_D7.0mm_P20.00mm_Horizontal,45.72,-20.32,90.0,top
C5,2.2u,C_Axial_L17.0mm_D7.0mm_P20.00mm_Horizontal,45.72,-43.18,90.0,top
C6,0.1u,C_0603_1608Metric,28.381841,-12.054955,0.0,top
C7,0.1u,C_0603_1608Metric,33.613876,-12.023612,0.0,top
C8,10u,C_0805_2012Metric,28.414443,-13.925586,0.0,top
C9,10u,C_0805_2012Metric,33.613876,-13.83958,0.0,top
D1,LED,LED_D3.0mm,10.16,-5.08,180.0,top
D2,LED,LED_D3.0mm,40.64,-3.81,180.0,top
D3,LED,LED_D3.0mm,3.81,-54.61,180.0,top
D4,LED,LED_D3.0mm,72.39,-30.48,0.0,top
J1,AudioJack3,Jack_3.5mm_Switronic_ST-005-G_horizontal,15.24,-60.75,90.0,top
J2,Conn_01x02_Pin,Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,7.62,-13.99,-90.0,top
J3,Connector_RCJ-042,Connector_RCJ-042CUD,25.4,-59.745549,180.0,top
J4,Connector_RCJ-042,Connector_RCJ-042CUD,38.1,-59.745549,180.0,top
J5,AudioJack3,Jack_3.5mm_Switronic_ST-005-G_horizontal,78.74,-60.75,90.0,top
J6,Conn_01x02_Pin,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,9.8,-38.1,-90.0,top
J7,Conn_01x02_Pin,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,9.8,-46.99,-90.0,top
Q1,NMOS_ MTB7D0N6RJ3,TO-252-2,27.55,-38.36,180.0,top
Q2,PMOS_MTP4835I3,TO-252-2,23.25,-30.74,0.0,top
Q3,NMOS_BSS138,SOT-23,34.925,-39.37,-90.0,top
Q4,PMOS_BSS84,TSOT-23,15.725148,-28.751082,90.0,top
Q5,PMOS_BSS84,TSOT-23,31.115,-23.495,-90.0,top
Q6,PMOS_MTP4835I3,TO-252-2,23.105,-23.235,180.0,top
Q7,NMOS_BSS138,SOT-23,21.944083,-44.45,90.0,top
Q8,NMOS_ MTB7D0N6RJ3,TO-252-2,29.42,-45.465,0.0,top
R1,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,52.07,-20.32,-90.0,top
R10,27K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,85.09,-43.18,90.0,top
R11,47,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,81.28,-20.32,90.0,top
R12,47,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,81.28,-43.18,90.0,top
R13,47,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,77.47,-20.32,90.0,top
R14,47,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,77.47,-43.18,90.0,top
R15,22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,67.31,-59.69,180.0,top
R16,22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,67.31,-55.88,180.0,top
R17,10K,R_0603_1608Metric,28.367507,-15.864955,180.0,top
R18,10K,R_0603_1608Metric,33.613876,-15.833612,180.0,top
R19,100K,R_0603_1608Metric,12.89,-27.75,-90.0,top
R2,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,52.07,-43.18,-90.0,top
R20,10k,R_0603_1608Metric,16.51,-24.765,-90.0,top
R21,10K,R_0603_1608Metric,15.725148,-31.926082,0.0,top
R22,10K,R_0603_1608Metric,31.115,-20.32,180.0,top
R23,100K,R_0603_1608Metric,31.115,-26.67,0.0,top
R24,10k,R_0603_1608Metric,31.115,-28.575,0.0,top
R25,10K,R_0603_1608Metric,34.925,-36.195,0.0,top
R26,100K,R_0603_1608Metric,37.465,-38.735,-90.0,top
R27,10k,R_0603_1608Metric,36.696795,-42.241208,0.0,top
R28,10K,R_0603_1608Metric,21.906717,-47.625,180.0,top
R29,100K,R_0603_1608Metric,25.368306,-49.952335,0.0,top
R3,22K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,59.69,-20.32,-90.0,top
R30,10k,R_0603_1608Metric,28.575,-50.165,0.0,top
R31,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,19.05,-2.54,180.0,top
R32,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,49.53,-3.81,180.0,top
R33,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8.012613,-58.774341,90.0,top
R34,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,63.5,-31.75,0.0,top
R4,22K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,59.69,-43.18,-90.0,top
R5,2.2K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,55.88,-20.32,-90.0,top
R6,2.2K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,55.88,-43.18,-90.0,top
R7,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,80.01,-11.43,180.0,top
R8,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,80.01,-34.29,180.0,top
R9,27K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,85.09,-20.32,90.0,top
RV1,R_Potentiometer_Dual,VR_ALPS9-dual,50.7,-59.605,-90.0,top
SW1,SW_DPDT_x2,SW_CK_JS202011CQN_DPDT_Straight,3.8175,-25.4,90.0,top
SW2,SW_DPDT_x2,SW_E-Switch_EG2219_DPDT_Angled,64.77,-66.06,0.0,top
U1,MAU108,DCDC_MAUseries,27.2025,-9.2825,0.0,top
U2,NJM5532,DIP-8_W7.62mm,68.59,-20.33,0.0,top
U3,NJM5532,DIP-8_W7.62mm,68.59,-43.19,0.0,top
